statement,translation
אמיתי איך אתה אוהב אותי,Real how you love me
איך אתה אוהב אותי אז,How do you love me then
די עם השטויות אני לא,Enough of the nonsense. I'm not.
רוצה לבכות תגיד לי איך,Want to cry Tell me how
אתה אוהב אותי איך אתה,You love me How do you
אוהב אותי איך אתה אוהב,Love me how you like
אותי די עם השטויות אני,I'm done with this nonsense.
לא רוצה לבכות תגיד לי,I don't want to cry Tell me
איך אתה אוהב אותי אתה,How do you love me You
רגיל לאלה שעושות לך אה,Used to those who do. Oh.
אה אלה שעל כל דבר,Oh the ones on everything
אומרות סבבה צריכה אחד טוטאלי,Say cool needs a total one
לויאלי שלא אומר בא לי,I'm not saying I want to.
לא באלי כי אני עושה,Not Bali because I do
מזה עניין זה כמו אש,It's a thing like fire.
מים אתה מצית לי את,You're lighting me up.
הלב אני מכבה את הכאב,The heart I turn off the pain
כל הראש שלי מסתובב אז,My whole head spins then
מה אתה רוצה תגיד לי,What do you want? Tell me.
אתה אמיתי איך אתה אוהב,You are real How do you like
אותי איך אתה אוהב אותי,Me How You Love Me
אז די עם השטויות אני,So enough of the nonsense.
לא רוצה לבכות תגיד לי,I don't want to cry Tell me
איך אתה אוהב אותי איך,How do you love me How
אתה אוהב אותי איך אתה,You love me How do you
אוהב אותי איך אתה אוהב,Love me how you like
אותי,Me
אם געגועים שוברים את לבבך,If longing breaks your heart
אם אתה חולם לא איכפת,If you're dreaming don't care
לך תבוז לגאווה שמח באהבה,Go despise happy pride in love
אל תשטה בה היא את,Don't fool her. She's you.
העולם הופכת לאחר לא יודעת,The world becomes after I don't know
גבול מה זאת לוותר אם,What does it mean to give up if
רק בה תשחק בן רגע,Just play it in an instant.
תישחק לא תהיה לך את,Play. You won't have the
כל יופיו של העולם הגישה,All the beauty of the world approach
היא לך איך בה התלת,Is to you how you hung
איך איך לא שמרת איך,How did you not keep how
היא לא תשוב יותר היא,She won't come back anymore. She will.
לא תשוב יותר אם אתה,You won't come back again if you
את צער העולם כואב אם,The grief of the world hurts if
אתה גם קצת על אחרים,You're also a little bit about others
חושב חייך בגאווה שמח באהבה,Think Smile with pride Happy with love
אל תשטה בה היא הופכת,Don't fool her She becomes
בית לארמון זהב היא דמעות,Home to a Golden Palace is Tears
עוטפת בחיוך רחב אך אל,Wrapped in a wide smile but to
בה תשחק בן רגע תישחק,Where you'll be playing right away.
לא תהיה לך את כל,You won't have all
יופיו של העולם הגישה היא,The beauty of the world The approach is
לך,Go on.
תל אביב שמש בעיניים חם,Tel Aviv Sun with warm eyes
לי כל הגוף מגרד משעמום,My whole body itches from boredom
המזגן לא עובד איך היום,The air conditioner doesn't work how today
תקוע יוצאת החוצה אולי תעבור,Stuck coming out. Maybe you'll pass.
איזה רוח תעשה אותי פראש,What a wind you'll make me Fresh
תנוח מתקדמת לים קפיצה למים,Rest advanced to the sea Jump to the water
תציל אותי בטוח היא ממול,Save me for sure. She's across the way.
שם מסתכלת הוא נשאר להתיישב,There looking he stayed to settle
הוא מפחד שהיא תשבור לו,He's afraid she'll break him.
את הלב תביא לה ארטיק,"Bring her heart, Artichoke."
או מסטיק תגיד לה שאתה,Or gum Tell her that you
אוהב תיקח אותה לים עם,Like to take her to the sea with
שמש בגד ים שכולם יחכו,Sun Swimsuits for Everyone to Wait
מחר עשה איתה סלפי תן,"Tomorrow, make a selfie with her."
לאהבה לבזבז לך זמן תצחק,To love to waste your time Laugh
על העולם תצחק על העולם,Laugh at the world.
על החוף שמש על המים,On the beach Sun on the water
שוטפת את כל האופק בכתום,Washes the whole horizon in orange
החול מכסה את הרגליים עדיין,The sand still covers the legs.
מסתכלת לראות עד הערב אם,Looking forward to the evening if
הוא חוזר אל המקום מתייבש,He returns to the place drying up.
לי הראש איך הוא לא,My head how is he not
מגיע היא ממול שוב מסתכלת,Coming up. She's next door looking again.
מה הוא יעשה עכשיו הוא,What he'll do now is
מנסה לגרום לה שוב להתאהב,Trying to make her fall in love again
תביא לה ארטיק או מסטיק,Get her a popsicle or gum.
תגיד לה שאתה אוהב תיקח,Tell her you love Take
אותה לים עם שמש בגד,The same to the sea with a sun garment
ים שכולם יחכו מחר אעשה,A sea that everyone will wait for tomorrow I will do
איתה סלפי תן לאהבה לבזבז,With her Selfie Let Love Waste
לך זמן תצחק על העולם,Go Time Laugh at the World
תצחק על העולם ארטיק או,"Laugh at the world, Artic."
מסטיק תגיד לה שאתה אוהב,Gum Tell Her You Love
תיקח אותה לים עם שמש,Take her to the sea with sun
בגד ים שכולם יחכו מחר,A swimsuit that everyone will be waiting for tomorrow
אעשה איתה סלפי תן לאהבה,I'll make a selfie with her Let's Love
לבזבז לך זמן תצחק על,Spending your time Laugh about
העולם תצחק על העולם,The world will laugh at the world.
נראה לי התמכרתי כבר לכל,I think I've become addicted to everything.
הלילות אני רוצה את זה,The nights I want it
חינם אנלא צריכה הנחות או,Free I don't need discounts or
עכשיו זה אבוד נראה לי,"Now it's lost, I think."
התמכרתי לעשן אורות אין יציאה,I've become addicted to smoking lights No exit
אנשים חוסמים את כל הכניסות,People block all entrances
או עכשיו זה אבוד אתה,Or now it's lost You
עמדת בצד כזה מיוחד קיבלת,You stood on such a special side You got
אנס להתקרב לא באת בזמן,A rapist approach. You didn't come in time.
אתה לא מוזמן למסיבה שלי,You're not invited to my party.
בלב אין פה טעויות אתה,In the heart there are no mistakes.
לא ברשימות הזמנתי לי שולחן,Not in the notes. I've got a table.
אני כל הבנות אם הטלפון,I'm all the girls with the phone
רוטט אנלא רוצה לענות או,I don't want to answer or
אני לא במוד מתי אתה,I'm not in the mode When are you
תלמד לצאת לי כבר מהוריד,Learn to get out of my way.
כמו חותמת על היד שאי,Like a stamp on the hand that
אפשר להוריד או עכשיו זה,You can download it now.
אבוד עמדת בצד כזה מיוחד,Lost You stood on such a special side
קיבלת אנס להתקרב לא באת,You got a rapist to come closer. You didn't come.
בזמן אתה לא מוזמן למסיבה,In time you are not invited to the party
שלי בלב אין פה טעויות,In my heart there are no mistakes.
אתה לא ברשימות מה תה,You're not in the lists What Tea
מה תה בא מה תבא,What Tea Comes What Comes
למסיבה שלי מפריע לי בשיא,My party disturbs me in record
אז בוא תגיד לי מה,So come tell me what
תה מה תבא מה תבא,Tea What's Coming What's Coming
להפקה שלי אנלא צריכה אותך,For my production I don't need you
פה ליידי,"Here, lady."
בוא נתקדם כמו בומרנג שוב,Let's go like a boomerang again.
אתה בא אליי עוד פעם,You come to me again.
בוא נתקדם למסטיק הזה כבר,Let's move on to that gum already.
נגמר קצת הטעם בוא נתקדם,We're running out of flavor. Let's move on.
אם אתה רוצה להיות איתי,If you want to be with me
